CS20_17,1191276,910134,497796,.763,.546,.417
CS20_18,3567229,2710795,1285758,.759,.474,.360
CS20_19,886460,677046,388356,.763,.573,.438
CS20_20,5217790,3982980,1734988,.763,.435,.332
CS20_21,515548,392774,239015,.761,.608,.463
CS20_22,1610686,1241989,653693,.771,.526,.405
CS20_23,752026,571139,337358,.759,.590,.448
CS20_24,868955,672620,382791,.774,.569,.440
CS20_25,776761,611902,321298,.787,.525,.413
CS23A_01,1444434,1104737,610267,.764,.552,.422
CS23A_02,4189689,3248444,1483452,.775,.456,.354
CS23A_03,3686730,2869651,1342735,.778,.467,.364
CS23A_04,476749,369896,232934,.775,.629,.488
CS23A_05,620409,480897,291083,.775,.605,.469
CS23A_06,725061,566579,339155,.781,.598,.467
CS23A_07,653892,506635,304864,.774,.601,.466
CS23A_08,1516299,1182142,633418,.779,.535,.417
CS23A_09,2185928,1686508,870972,.771,.516,.398
CS23A_10,5040348,3908883,1737445,.775,.444,.344
CS23A_11,2787370,2149830,1064483,.771,.495,.381
CS23A_12,2146472,1675967,861153,.780,.513,.401
CS23A_13,1725516,1334964,703545,.773,.527,.407
CS23A_14,3417267,2692704,1268827,.787,.471,.371
CS23A_15,1139222,880819,492187,.773,.558,.432
CS23A_16,3106855,2431328,1174479,.782,.483,.378
CS23A_17,597316,464185,282838,.777,.609,.473
CS23A_18,2983111,2315212,1129170,.776,.487,.378
CS23A_19,2155463,1668181,863097,.773,.517,.400
CS23A_20,1435084,1128814,607559,.786,.538,.423
CS23A_21,530845,410448,254261,.773,.619,.478
CS23A_22,3001324,2373198,1133784,.790,.477,.377
CS23A_23,763797,587973,350437,.769,.596,.458
CS23A_24,429288,331743,209679,.772,.632,.488
CS23A_25,2788362,2174153,1062796,.779,.488,.381
CS25_01,4678085,3635711,1634706,.777,.449,.349
CS25_02,978703,766471,437600,.783,.570,.447
CS25_03,1148497,888586,498939,.773,.561,.434
CS25_04,965050,751572,423632,.778,.563,.438
CS25_05,2180755,1710478,856210,.784,.500,.392
CS25_06,284335,222150,140960,.781,.634,.495
CS25_07,327063,256000,163065,.782,.636,.498
CS25_08,1051216,811543,461489,.772,.568,.439
CS25_09,1337533,1039559,567510,.777,.545,.424
CS25_10,1599369,1247935,667290,.780,.534,.417
CS25_11,896376,689987,403414,.769,.584,.450
CS25_12,2033527,1575743,822420,.774,.521,.404
CS25_13,2542975,1997659,986599,.785,.493,.387
CS25_14,876974,679399,391692,.774,.576,.446
CS25_15,827425,644899,372682,.779,.577,.450
CS25_16,2415807,1875013,938828,.776,.500,.388
CS25_17,1485427,1153778,619156,.776,.536,.416
CS25_18,1460215,1138321,614849,.779,.540,.421
CS25_19,2856538,2220196,1092857,.777,.492,.382
CS25_20,5648973,4399522,1898939,.778,.431,.336
CS25_21,3109275,2433233,1169448,.782,.480,.376
CS25_22,368788,285820,182507,.775,.638,.494
CS25_23,472947,365037,228462,.771,.625,.483
CS25_24,2845351,2221454,1093891,.780,.492,.384
CS25_25,3535024,2748684,1296978,.777,.471,.366
CS27_01,1031245,803711,459699,.779,.571,.445
CS27_02,576906,443216,275360,.768,.621,.477
CS27_03,447948,350396,217681,.782,.621,.485
CS27_04,548136,431079,261315,.786,.606,.476
CS27_05,1280061,993240,545747,.775,.549,.426
CS27_06,1019036,789908,447408,.775,.566,.439
CS27_07,1972513,1538864,791014,.780,.514,.401
CS27_08,2661778,2087223,1018408,.784,.487,.382
CS27_09,546365,427254,261465,.781,.611,.478
CS27_10,721845,561248,333741,.777,.594,.462
CS27_11,526987,410552,250116,.779,.609,.474
CS27_12,596003,466560,281416,.782,.603,.472
CS27_13,355762,278935,156610,.784,.561,.440
CS27_14,1073336,831639,468756,.774,.563,.436
CS27_15,458097,355857,222810,.776,.626,.486
CS27_16,2320778,1801805,910093,.776,.505,.392
CS27_17,3053909,2395493,1141565,.784,.476,.373
CS27_18,1854510,1446756,755006,.780,.521,.407
CS27_19,883901,690973,396492,.781,.573,.448
CS27_20,4612720,3589545,1611571,.778,.448,.349
CS27_21,2882361,2242768,1089298,.778,.485,.377
CS27_22,925752,717654,411470,.775,.573,.444
CS27_23,1342839,1039433,568475,.774,.546,.423
CS27_24,1678401,1303956,690391,.776,.529,.411
CS27_25,1286916,1001563,556093,.778,.555,.432
CS29_01,2981005,2318904,1124253,.777,.484,.377
CS29_02,3195568,2486241,1189474,.778,.478,.372
CS29_03,3174151,2462538,1183186,.775,.480,.372
CS29_04,978994,761710,434060,.778,.569,.443
CS29_05,553274,436104,237843,.788,.545,.429
CS29_06,1629807,1271659,667792,.780,.525,.409
CS29_07,2827832,2202154,1076783,.778,.488,.380
CS30A_01,687278,536475,319362,.780,.595,.464
CS30A_02,446766,344928,217387,.772,.630,.486
CS30A_03,1117631,874398,485289,.782,.554,.434
CS30A_04,187823,146735,97309,.781,.663,.518
CS30A_05,8974223,6857224,2524583,.764,.368,.281
CS30A_06,958637,746259,423838,.778,.567,.442
CS30A_07,218931,175589,103962,.802,.592,.474
CS30A_08,567389,455860,244433,.803,.536,.430
CS30A_09,785754,604636,358562,.769,.593,.456
CS30A_10,546027,418882,242490,.767,.578,.444
CS30A_11,2050965,1612202,828111,.786,.513,.403
CS30A_12,735220,567035,337917,.771,.595,.459
CS30A_13,785631,610243,354441,.776,.580,.451
CS30A_14,535269,415982,254635,.777,.612,.475
CS30A_15,3060969,2428195,1175416,.793,.484,.384
CS30A_16,2098790,1657987,860289,.789,.518,.409
CS30A_17,2193490,1744577,896904,.795,.514,.408
CS30A_18,3043710,2420691,1177163,.795,.486,.386
CS30A_19,1558355,1239857,662309,.795,.534,.425
CS30A_20,4998687,4004753,1754575,.801,.438,.351
CS30A_21,1792747,1431813,748482,.798,.522,.417
CS30A_22,2141764,1662117,777393,.776,.467,.362
CS30A_23,2393121,1887406,966291,.788,.511,.403
CS30A_24,3552855,2797817,1348284,.787,.481,.379
CS30A_25,1228637,952003,505770,.774,.531,.411
D01_1,5155690,4109899,1819360,.797,.442,.352
D01_10,2738106,2177879,1066343,.795,.489,.389
D01_11,1873231,1498838,787002,.800,.525,.420
D01_12,3086606,2455291,1195065,.795,.486,.387
D01_13,944192,750125,429431,.794,.572,.454
D01_14,2382640,1890577,952111,.793,.503,.399
D01_15,2780892,2208259,1100146,.794,.498,.395
D01_2,1329564,1054601,576181,.793,.546,.433
D01_3,3420299,2738732,1294822,.800,.472,.378
D01_4,2961940,2367525,1137802,.799,.480,.384
D01_5,4047114,3239674,1514870,.800,.467,.374
D01_6,3756062,2989675,1411808,.795,.472,.375
D01_7,8497753,6769772,2682206,.796,.396,.315
D01_8,2599125,2052413,1030255,.789,.501,.396
D01_9,3682309,2940143,1369834,.798,.465,.372
D02_01,2584461,2046274,1022707,.791,.499,.395
D02_02,2391702,1896623,951398,.793,.501,.397
D02_03,1088223,864707,482643,.794,.558,.443
D02_04,139579,108516,77731,.777,.716,.556
D02_05,417424,334429,204200,.801,.610,.489
D02_06,2264524,1815850,917197,.801,.505,.405
D02_07,3580161,2845924,1346076,.794,.472,.375
D02_08,2816061,2242823,1090049,.796,.486,.387
D02_09,2482466,1975490,992135,.795,.502,.399
