Index,SampleID,Species,Project,SampleSite,Site,SiteWaypoint,Valley,CollectionYear,CollectionDate,WaypointName,NameGroup,UTMzone,Easting,Northing,Habitat,Collector,Affiliation,LibPrepYear,PreppedBy,Library,Well,Notes,RangeWidePhylo,RangeWidePopGen,JSWC
86,C04_04,Relict dace,Johnson Springs Wetland Complex,Channel 04,GSJS,GSJS_C04,Goshute Valley,2019,,C04,Cnorth,11,710158.8126,4539675.149,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,F11,,,,Y
87,C05_01,Relict dace,Johnson Springs Wetland Complex,Channel 05,GSJS,GSJS_C05,Goshute Valley,2019,,C05,Cnorth,11,710177.7218,4539580.301,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,G11,,,,Y
88,JR4_13,Relict dace,Johnson Springs Wetland Complex,Johnson Reservoir 4,GSJS,GSJS_JR4,Goshute Valley,2019,,JR4,JR,11,710205.36,4537886.16,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,H11,,,,Y
89,C08_01,Relict dace,Johnson Springs Wetland Complex,Channel 08,GSJS,GSJS_C08,Goshute Valley,2019,,C08,Cnorth,11,710224.9471,4539301.499,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,A12,,,,Y
90,C10_01,Relict dace,Johnson Springs Wetland Complex,Channel 10,GSJS,GSJS_C10,Goshute Valley,2019,,C10,Cnorth,11,710277.0333,4539127.462,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,B12,,,,Y
91,C14_01,Relict dace,Johnson Springs Wetland Complex,Channel 14,GSJS,GSJS_C14,Goshute Valley,2019,,C14,Cnorth,11,710473.875,4538808.382,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,C12,,,,Y
92,C15_01,Relict dace,Johnson Springs Wetland Complex,Channel 15,GSJS,GSJS_C15,Goshute Valley,2019,,C15,Cnorth,11,710507.1706,4538715.002,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,D12,,,,Y
93,C15_02,Relict dace,Johnson Springs Wetland Complex,Channel 15,GSJS,GSJS_C15,Goshute Valley,2019,,C15,Cnorth,11,710507.1706,4538715.002,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,E12,,,,Y
94,C15_03,Relict dace,Johnson Springs Wetland Complex,Channel 15,GSJS,GSJS_C15,Goshute Valley,2019,,C15,Cnorth,11,710507.1706,4538715.002,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,F12,,,,Y
95,C15_04,Relict dace,Johnson Springs Wetland Complex,Channel 15,GSJS,GSJS_C15,Goshute Valley,2019,,C15,Cnorth,11,710507.1706,4538715.002,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,G12,,,,Y
96,C15_05,Relict dace,Johnson Springs Wetland Complex,Channel 15,GSJS,GSJS_C15,Goshute Valley,2019,,C15,Cnorth,11,710507.1706,4538715.002,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,H12,,,,Y
97,C15_06,Relict dace,Johnson Springs Wetland Complex,Channel 15,GSJS,GSJS_C15,Goshute Valley,2019,,C15,Cnorth,11,710507.1706,4538715.002,,Sarah Epstein,SWCA,2022,Melanie LaCava,2,A1,,,,Y
