SampleID,Path,Species,Project,SampleSite,Valley,CollectionYear,CollectionDate,WaypointName,UTMzone,Easting,Northing,Habitat,Collector,Affiliation,LibPrepYear,PreppedBy,Library,Well,Notes
NSR_09,/home/mlacava/align/RAD_alignments/NSR_09_sorted_proper_rmdup.bam,Relict dace,NA,Spring north of Stratton Ranch,Butte Valley,2019,10/4/19,NSR,11,670476,4443283,reservoir outflow,Chalie Scott,Nevada Department of Wildlife,2022,Melanie LaCava,15,F10,NA
NSR_10,/home/mlacava/align/RAD_alignments/NSR_10_sorted_proper_rmdup.bam,Relict dace,NA,Spring north of Stratton Ranch,Butte Valley,2019,10/4/19,NSR,11,670476,4443283,reservoir outflow,Chalie Scott,Nevada Department of Wildlife,2022,Melanie LaCava,14,C6,NA
NSR_11,/home/mlacava/align/RAD_alignments/NSR_11_sorted_proper_rmdup.bam,Relict dace,NA,Spring north of Stratton Ranch,Butte Valley,2019,10/4/19,NSR,11,670476,4443283,reservoir outflow,Chalie Scott,Nevada Department of Wildlife,2022,Melanie LaCava,14,D6,NA
NSR_12,/home/mlacava/align/RAD_alignments/NSR_12_sorted_proper_rmdup.bam,Relict dace,NA,Spring north of Stratton Ranch,Butte Valley,2019,10/4/19,NSR,11,670476,4443283,reservoir outflow,Chalie Scott,Nevada Department of Wildlife,2022,Melanie LaCava,14,E6,NA
NSR_14,/home/mlacava/align/RAD_alignments/NSR_14_sorted_proper_rmdup.bam,Relict dace,NA,Spring north of Stratton Ranch,Butte Valley,2019,10/4/19,NSR,11,670476,4443283,reservoir outflow,Chalie Scott,Nevada Deprtment of Wildlife,2022,Melanie LaCava,15,H10,NA
NSR_15,/home/mlacava/align/RAD_alignments/NSR_15_sorted_proper_rmdup.bam,Relict dace,NA,Spring north of Stratton Ranch,Butte Valley,2019,10/4/19,NSR,11,670476,4443283,reservoir outflow,Chalie Scott,Nevada Department of Wildlife,2022,Melanie LaCava,14,F6,NA
STR_01,/home/mlacava/align/RAD_alignments/STR_01_sorted_proper_rmdup.bam,Relict dace,NA,Stratton Ranch,Butte Valley,2019,10/10/19,STR,11,671599,4442350,Spring Channel,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,F3,NA
STR_02,/home/mlacava/align/RAD_alignments/STR_02_sorted_proper_rmdup.bam,Relict dace,NA,Stratton Ranch,Butte Valley,2019,10/10/19,STR,11,671599,4442350,Spring Channel,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,G3,NA
STR_03,/home/mlacava/align/RAD_alignments/STR_03_sorted_proper_rmdup.bam,Relict dace,NA,Stratton Ranch,Butte Valley,2019,10/10/19,STR,11,671599,4442350,Spring Channel,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,H3,NA
STR_05,/home/mlacava/align/RAD_alignments/STR_05_sorted_proper_rmdup.bam,Relict dace,NA,Stratton Ranch,Butte Valley,2019,10/10/19,STR,11,671599,4442350,Spring Channel,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,B4,NA
STR_06,/home/mlacava/align/RAD_alignments/STR_06_sorted_proper_rmdup.bam,Relict dace,NA,Stratton Ranch,Butte Valley,2019,10/10/19,STR,11,671599,4442350,Spring Channel,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,C4,NA
STR_07,/home/mlacava/align/RAD_alignments/STR_07_sorted_proper_rmdup.bam,Relict dace,NA,Stratton Ranch,Butte Valley,2019,10/10/19,STR,11,671599,4442350,Spring Channel,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,D4,NA
STR_08,/home/mlacava/align/RAD_alignments/STR_08_sorted_proper_rmdup.bam,Relict dace,NA,Stratton Ranch,Butte Valley,2019,10/10/19,STR,11,671599,4442350,Spring Channel,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,E4,NA
STR_09,/home/mlacava/align/RAD_alignments/STR_09_sorted_proper_rmdup.bam,Relict dace,NA,Stratton Ranch,Butte Valley,2019,10/10/19,STR,11,671599,4442350,Spring Channel,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,F4,NA
STR_10,/home/mlacava/align/RAD_alignments/STR_10_sorted_proper_rmdup.bam,Relict dace,NA,Stratton Ranch,Butte Valley,2019,10/10/19,STR,11,671599,4442350,Spring Channel,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,G4,NA
STR_11,/home/mlacava/align/RAD_alignments/STR_11_sorted_proper_rmdup.bam,Relict dace,NA,Stratton Ranch,Butte Valley,2019,10/10/19,STR,11,671599,4442350,Spring Channel,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,H4,NA
STR_12,/home/mlacava/align/RAD_alignments/STR_12_sorted_proper_rmdup.bam,Relict dace,NA,Stratton Ranch,Butte Valley,2019,10/10/19,STR,11,671599,4442350,Spring Channel,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,A5,NA
STR_13,/home/mlacava/align/RAD_alignments/STR_13_sorted_proper_rmdup.bam,Relict dace,NA,Stratton Ranch,Butte Valley,2019,10/10/19,STR,11,671599,4442350,Spring Channel,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,B5,NA
